SP_open,SP_high,SP_low,SP_close,SP_Ajclose,SP_volume,DJ_open,DJ_high,DJ_low,DJ_close,DJ_Ajclose,DJ_volume,EU_Price,EU_open,EU_high,EU_low,Adj_Close
132.729996,133.020004,132.210007,132.679993,115.228912,113090400,12716.54004,12741.88965,12676.04981,12705.41016,12705.41016,114360000,1.3146,1.3161,1.3197,1.3085,171.050003
134,134.619995,133.770004,134.539993,116.844284,160598500,12705.04004,12869.9502,12704.95996,12862.23047,12862.23047,142840000,1.3144,1.3144,1.3205,1.3066,167.639999
133.979996,134.509995,133.830002,134.449997,116.766136,107694500,12860.71973,12860.79004,12793.42969,12845.12988,12845.12988,108040000,1.3134,1.3114,1.3144,1.3029,167.179993
134.169998,135.020004,133.639999,134.789993,117.061401,135528100,12844.37012,12903.70996,12782.57031,12878.2002,12878.2002,116150000,1.3266,1.3135,1.3272,1.3087,169.699997
134.860001,135.220001,134.309998,135.190002,117.408775,139361400,12865.79004,12893.63965,12817.69043,12883.9502,12883.9502,138250000,1.3258,1.326,1.3291,1.3218,168.5
135.410004,135.589996,134.559998,135.360001,117.556435,148602900,12884.41016,12924.70996,12846.41016,12890.45996,12890.45996,157080000,1.3283,1.3262,1.3323,1.3215,168.020004
134.160004,134.470001,133.839996,134.360001,116.687958,167907500,12889.54981,12889.62988,12743.55957,12801.23047,12801.23047,123620000,1.3175,1.3284,1.3293,1.3155,167.139999
135.320007,135.520004,134.740005,135.360001,117.556435,115841900,12799.11035,12887.92969,12799.11035,12874.04004,12874.04004,112240000,1.3194,1.3208,1.3284,1.3187,167.509995
135,135.270004,134.25,135.190002,117.408775,165329500,12871.76953,12878.87988,12786.92969,12878.28027,12878.28027,120050000,1.3119,1.3193,1.3217,1.3079,167.119995
135.630005,135.830002,134.289993,134.559998,116.861656,195195100,12864.65039,12899.46973,12753.62012,12780.9502,12780.9502,127560000,1.3071,1.3126,1.3191,1.3044,168.110001
